,Ephys t-SNE x,Ephys t-SNE y,Morph t-SNE x,Moprh t-SNE y,Morphoelectric t-SNE x,Morphoelectric t-SNE y
20181109_sample_5,-5.25,16.67,-19.31,-12.13,-21.27,11.91
20181109_sample_7,-8.23,20.37,-32.62,-8.79,-18.83,12.22
20181109_sample_8,-8.72,14.69,,,,
20181109_sample_9,-16.56,22.41,,,,
20181109_sample_10,-2.95,19.81,,,,
20181112_sample_1,-9.22,29.85,,,,
20181112_sample_4,-9.31,32.12,,,,
20181112_sample_5,-10.61,23.56,,,,
20181112_sample_6,-27.65,13.63,-32.97,-10.73,-17.28,12.88
20181112_sample_8,-8.16,34.3,-31.89,-10.28,-17.55,16.88
20181112_sample_11,0.18,36.18,,,,
20181114_sample_1,-37.01,6.88,,,,
20181114_sample_2,-34.99,-5.77,,,,
20181114_sample_4,-38.24,-14.07,,,,
20181116_sample_2,-34.74,-7.32,,,,
20181116_sample_3,-37.67,-26.23,,,,
20181116_sample_4,-34.74,-7.32,,,,
20181116_sample_5,-32.1,-21.06,-19.03,-18.53,-35.83,2.75
20181116_sample_7,-40.87,-21.81,,,,
20181116_sample_10,-38.3,-15.64,,,,
20181116_sample_12,-33.52,-13.06,,,,
20181121_sample_1,-15.51,34.99,,,,
20181121_sample_2,-5.71,16.32,,,,
20181121_sample_3,-19.14,-4.07,,,,
20181121_sample_4,-8.41,35.94,,,,
20181121_sample_5,4.12,28.54,,,,
20181121_sample_6,-6.43,-8.33,-33.15,-9.85,-19.84,9.66
20181121_sample_7,-11.17,16.73,,,,
20181126_sample_2,-9.12,18.44,,,,
20181126_sample_6,7.97,21.85,,,,
20181127_sample_1,-15.12,32.73,,,,
20181127_sample_3,-9.66,29.23,-11.27,13.52,-9.66,20.4
20181127_sample_4,-13.52,13.87,,,,
20181127_sample_5,-10.48,14.99,-18.4,-8.51,-16.39,11.47
20181127_sample_7,-2.0,11.93,-15.22,1.87,-10.55,5.82
20181129_sample_1,0.29,35.29,,,,
20181129_sample_2,-6.4,37.49,,,,
20181129_sample_3,-1.65,14.63,,,,
20181129_sample_4,-15.06,34.33,,,,
20181129_sample_5,-12.16,10.85,,,,
20181129_sample_6,-7.78,40.84,,,,
